WERKS,MATNR,TXZ01,MENGE,MEINS,BUDAT,LIFNR,DMBTR,WAERS
IN01,DIES-001,Diesel B7,12500,L,20240103,VEND-0042,875000,INR
IN01,DIES-001,Diesel B7,9800,L,20240205,VEND-0042,686000,INR
IN01,DIES-002,Diesel Industrial,15200,L,20240301,VEND-0055,1064000,INR
IN02,PETR-001,Petrol 91 RON,4200,L,20240108,VEND-0031,378000,INR
IN02,PETR-001,Petrol 91 RON,3900,L,20240214,VEND-0031,351000,INR
IN01,NGAS-001,Natural Gas,8400,M3,20240112,VEND-0078,252000,INR
IN01,NGAS-001,Natural Gas,9100,M3,20240209,VEND-0078,273000,INR
IN03,HFO-001,Heavy Fuel Oil,6200,L,20240115,VEND-0091,682000,INR
IN03,DIES-001,Diesel B7,7800,L,20240318,VEND-0042,546000,INR
IN02,LPG-001,LPG Autogas,3100,KG,20240122,VEND-0064,186000,INR
IN01,DIES-001,Diesel B7,11200,L,20240401,VEND-0042,784000,INR
IN01,NGAS-001,Natural Gas,8900,M3,20240408,VEND-0078,267000,INR
IN02,PETR-001,Petrol 91 RON,4500,L,20240412,VEND-0031,405000,INR
IN03,DIES-002,Diesel Industrial,47800,L,20240415,VEND-0055,3346000,INR
IN01,DIES-001,Diesel B7,-200,L,20240418,VEND-0042,-14000,INR
IN02,DIES-001,Diesel B7,13100,L,20240501,VEND-0042,917000,INR
IN01,NGAS-001,Natural Gas,9300,M3,20240505,VEND-0078,279000,INR
IN04,PETR-001,Petrol 91 RON,2800,L,20240510,VEND-0031,252000,INR
IN01,DIES-001,Diesel B7,12800,L,20240601,VEND-0042,896000,INR
IN01,NGAS-001,Natural Gas,10200,M3,20240608,VEND-0078,306000,INR
